,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY
2651,Condo,1325000,3,2.0,1597.0,Brooklyn
2652,Townhouse,595000,1,2.0,846.0,Brooklyn
2654,Condo,330000,1,1.0,726.0,Staten Island
2656,Co-op,425000,2,1.0,2184.207862,Brooklyn
2658,Condo,999000,2,2.0,1187.0,Queens
2662,Condo,728000,3,2.0,1450.0,Queens
2668,Condo,569000,1,1.0,739.0,Brooklyn
2675,Co-op,300000,3,1.0,600.0,Brooklyn
2682,Co-op,289000,3,1.0,2184.207862,Brooklyn
2693,Co-op,959000,3,4.0,1993.0,Queens
2698,Condo,744000,2,1.0,890.0,Queens
2701,Co-op,475000,1,1.0,2184.207862,Brooklyn
2712,Co-op,395250,1,1.0,650.0,Queens
2715,Condo,1450000,3,3.0,1855.0,Queens
2718,Co-op,297000,1,1.0,800.0,Queens
2719,Co-op,244900,1,1.0,518.0,Queens
2721,Co-op,230000,1,1.0,2184.207862,Queens
2724,Co-op,539999,3,2.0,2184.207862,Queens
2727,Co-op,270000,2,1.0,700.0,Queens
2730,Co-op,240000,2,1.0,2184.207862,Queens
2731,Condo,628000,3,2.0,900.0,Queens
2732,Co-op,399000,2,1.0,2184.207862,Queens
2736,Co-op,240000,2,1.0,2184.207862,Queens
2738,Condo,595000,3,1.0,915.0,Brooklyn
2739,Condo,899000,2,2.0,1697.0,Staten Island
2748,Co-op,359000,2,1.0,950.0,Queens
2752,Co-op,400000,2,1.0,2184.207862,Queens
2763,Co-op,250000,1,1.0,800.0,Brooklyn
2766,Co-op,350000,3,2.0,1100.0,Brooklyn
2771,Co-op,1050000,1,1.0,2184.207862,Manhattan
2781,Townhouse,600000,3,1.0,2184.207862,Brooklyn
2790,Co-op,329000,1,1.0,764.0,Brooklyn
2793,Condo,1999999,3,3.0,1800.0,Brooklyn
2795,Co-op,379000,2,1.0,900.0,Queens
2801,Co-op,995000,1,1.0,2184.207862,Brooklyn
2804,Co-op,389000,1,1.0,900.0,Queens
2814,Co-op,269000,1,1.0,625.0,Brooklyn
2819,Co-op,239000,1,1.0,700.0,Brooklyn
2820,Co-op,385000,1,1.0,2184.207862,Queens
2823,Co-op,130000,3,1.0,2184.207862,Queens
2827,Condo,555000,1,1.0,649.0,Queens
2829,Co-op,349000,2,1.0,2184.207862,Queens
2835,Condo,948888,2,2.0,950.0,Brooklyn
2840,Condo,750000,1,1.0,654.0,Brooklyn
2842,Co-op,300000,1,1.0,2184.207862,Queens
2844,Co-op,450000,2,2.0,2184.207862,Queens
2848,Condo,5925000,3,4.0,2539.0,Brooklyn
2850,Condo,5925000,3,4.0,2539.0,Brooklyn
2855,Co-op,750000,1,1.0,2184.207862,Brooklyn
2857,Co-op,199000,3,1.0,650.0,Brooklyn
2867,Condo,599000,2,2.0,705.0,Queens
2872,Condo,729000,2,2.0,950.0,Queens
2875,Co-op,399999,2,1.0,2184.207862,Queens
2876,Co-op,397000,2,1.0,1000.0,Queens
2884,Condo,699000,2,2.0,1030.0,Queens
2885,Co-op,265000,3,1.0,650.0,Brooklyn
2895,Condo,2800000,2,2.0,1412.0,Manhattan
2897,Co-op,294500,1,1.0,2184.207862,Queens
2902,Co-op,208000,3,1.0,2184.207862,Queens
2904,Co-op,235000,1,1.0,2184.207862,Queens
2908,Co-op,385000,2,1.0,920.0,Queens
2909,Co-op,250000,1,1.0,750.0,Brooklyn
2918,Condo,825000,3,2.0,2184.207862,Queens
2923,Condo,485000,1,1.0,575.0,Queens
2933,Co-op,299000,1,1.0,2184.207862,Queens
2935,Condo,465000,2,2.0,708.0,Queens
2936,Co-op,278000,1,1.0,750.0,Queens
2938,Condo,685000,2,2.0,2184.207862,Queens
2942,Co-op,449000,2,2.0,1200.0,Queens
2943,Co-op,1100000,2,1.0,2184.207862,Brooklyn
2944,Condo,550000,3,2.3738608579684373,2184.207862,Brooklyn
2945,Condo,1899000,3,2.0,1900.0,Brooklyn
2952,Condo,548000,1,1.0,950.0,Queens
2956,Co-op,269000,3,1.0,2184.207862,Queens
2958,Co-op,155000,3,1.0,2184.207862,Brooklyn
2959,Co-op,449000,2,1.0,764.0,Queens
2964,Co-op,795000,2,1.0,2184.207862,Brooklyn
2965,Co-op,300000,2,1.0,800.0,Brooklyn
2969,Condo,425000,1,1.0,603.0,Brooklyn
2972,Co-op,410000,2,2.0,2184.207862,Queens
2973,Co-op,268000,1,1.0,660.0,Queens
2977,Condo,660000,2,2.0,970.0,Queens
2983,Co-op,349000,1,1.0,652.0,Brooklyn
2984,Co-op,269995,1,1.0,2184.207862,Queens
2987,Condo,425000,1,1.0,603.0,Brooklyn
2992,Co-op,629000,1,1.0,2184.207862,Manhattan
2997,Co-op,519000,2,2.0,1079.0,Queens
3004,Co-op,199000,1,1.0,600.0,Queens
3006,Co-op,518000,3,2.0,2184.207862,Queens
3010,Condo,1465000,2,1.0,1107.0,Brooklyn
3011,Co-op,278000,1,1.0,2184.207862,Queens
3012,Co-op,469000,2,1.0,2184.207862,Queens
3013,Co-op,225000,1,1.0,2184.207862,Queens
3025,Condo,269000,3,1.0,485.0,Brooklyn
3028,Co-op,1150000,2,1.0,900.0,Brooklyn
3030,Condo,799000,5,2.0,1500.0,Brooklyn
3034,Co-op,385000,1,1.0,779.0,Brooklyn
3036,Condo,539000,2,1.0,708.0,Brooklyn
3052,Condo,898000,1,2.0,1340.0,Brooklyn
3053,Co-op,189990,1,1.0,2184.207862,Queens
3062,Condo,594900,2,1.0,729.0,Brooklyn
3064,Condo,639000,2,2.0,800.0,Queens
3070,Co-op,500000,3,2.0,2184.207862,Brooklyn
3071,Condo,349000,3,1.0,500.0,Queens
3077,Co-op,275000,1,1.0,2184.207862,Queens
3078,Co-op,219000,1,1.0,2184.207862,Queens
3085,Condo,560000,2,2.0,1008.0,Staten Island
3090,Condo,1249000,2,2.0,2158.0,Brooklyn
3092,Co-op,449000,2,1.0,2184.207862,Queens
3106,Co-op,399000,1,1.0,750.0,Brooklyn
3115,Condo,550000,1,1.0,721.0,Queens
3117,Condo,888000,2,2.0,1146.0,Brooklyn
3124,Co-op,259000,2,1.0,2184.207862,Brooklyn
3127,Co-op,399999,2,1.0,2184.207862,Brooklyn
3128,Condo,10800000,5,6.0,4544.0,Brooklyn
3132,Condo,599999,2,1.0,932.0,Brooklyn
3133,Condo,699000,3,2.0,1290.0,Queens
3137,Co-op,224000,1,1.0,2184.207862,Queens
3145,Co-op,339000,1,1.0,910.0,Queens
3152,Co-op,549995,3,1.0,2184.207862,Brooklyn
3158,Co-op,288000,1,1.0,800.0,Brooklyn
3161,Co-op,250000,3,1.0,2184.207862,Queens
3163,Co-op,225000,1,1.0,2184.207862,Queens
3164,Co-op,380000,2,1.0,850.0,Brooklyn
3167,Co-op,150000,3,1.0,2184.207862,Queens
3169,Condo,665000,2,1.0,1120.0,Queens
3170,Condo,899000,1,2.0,1151.0,Brooklyn
3174,Co-op,437500,1,1.0,2184.207862,Queens
3180,Co-op,318000,1,1.0,2184.207862,Queens
3183,Condo,625000,3,1.0,458.0,Brooklyn
3185,Co-op,419000,2,1.0,1000.0,Brooklyn
3186,Co-op,448000,1,1.0,750.0,Brooklyn
3192,Co-op,420000,3,2.0,1200.0,Queens
3195,Condo,225000,3,1.0,2184.207862,Brooklyn
3198,Co-op,450500,2,1.0,1200.0,Queens
3201,Co-op,175000,3,1.0,2184.207862,Queens
3202,Co-op,720000,1,1.0,2184.207862,Brooklyn
3207,Condo,2250000,3,2.0,2184.207862,Brooklyn
3211,Condo,469000,2,1.0,780.0,Queens
3212,Condo,1355000,3,2.0,2184.207862,Brooklyn
3218,Condo,285000,1,1.0,613.0,Staten Island
3220,Condo,489000,2,2.0,1100.0,Brooklyn
3226,Co-op,180000,3,1.0,500.0,Queens
3231,Condo,1050000,4,2.0,2800.0,Brooklyn
3235,Condo,558000,2,1.0,747.0,Queens
3240,Co-op,419000,3,2.3738608579684373,2184.207862,Brooklyn
3241,Co-op,329000,1,1.0,850.0,Brooklyn
3243,Co-op,438000,1,1.0,900.0,Queens
3246,House,750000,2,2.0,2184.207862,Brooklyn
3251,Co-op,499000,3,2.0,1266.0,Queens
3258,Co-op,460000,1,1.0,950.0,Brooklyn
3268,Co-op,248000,1,1.0,800.0,Queens
3271,Co-op,330000,2,1.0,2184.207862,Queens
3275,Condo,3200000,3,3.0,1820.0,Brooklyn
3280,Condo,249999,1,1.0,596.0,Staten Island
3283,Co-op,219000,1,1.0,780.0,Queens
3286,Co-op,449000,1,2.0,1130.0,Queens
3289,Condo,750000,2,2.0,732.0,Brooklyn
3290,Condo,780000,2,2.0,847.0,Queens
3294,Co-op,388000,2,2.0,2184.207862,Queens
3295,Co-op,224995,3,1.0,550.0,Queens
3296,Co-op,239000,1,1.0,670.0,Brooklyn
3297,Co-op,529000,2,2.0,1200.0,Brooklyn
3298,Condo,995000,4,2.0,1782.0,Brooklyn
3302,Co-op,265000,1,1.0,2184.207862,Queens
3304,Condo,1995000,1,1.0,826.0,Manhattan
3305,Condo,820000,1,2.0,788.0,Brooklyn
3307,Co-op,210000,1,1.0,2184.207862,Queens
3310,Co-op,388000,2,2.0,2184.207862,Queens
3315,Co-op,292950,1,1.0,675.0,Queens
3317,Condo,1540000,3,3.0,1357.0,Brooklyn
3330,Co-op,479500,2,2.0,2184.207862,Queens
3348,Co-op,635000,1,1.0,2184.207862,Brooklyn
3358,Co-op,324888,1,1.0,713.0,Queens
3360,Co-op,165000,3,1.0,400.0,Queens
3362,Co-op,130000,3,1.0,422.0,Queens
3365,Condo,1049000,3,1.0,897.0,Brooklyn
3368,Co-op,219000,1,1.0,2184.207862,Queens
3376,Co-op,235000,1,1.0,675.0,Brooklyn
3378,Condo,680000,2,1.0,640.0,Brooklyn
3380,Co-op,595000,1,1.0,2184.207862,Manhattan
3390,Condo,679000,2,2.0,879.0,Brooklyn
3393,Co-op,169999,1,1.0,750.0,Queens
3394,Co-op,304900,1,1.0,850.0,Queens
3397,Co-op,279000,2,1.0,1000.0,Brooklyn
3399,Co-op,179000,1,1.0,2184.207862,Brooklyn
3401,Co-op,268000,2,1.0,950.0,Queens
3404,Co-op,293000,1,1.0,649.0,Queens
3406,Co-op,298888,1,1.0,700.0,Queens
3421,Co-op,2995000,3,2.0,2184.207862,Brooklyn
3424,Co-op,239000,2,1.0,950.0,Brooklyn
3437,Co-op,349000,2,1.0,900.0,Brooklyn
3440,Multi-family,1800000,11,6.0,5000.0,Queens
3449,Co-op,185000,3,1.0,400.0,Queens
3450,Condo,568000,1,1.0,2184.207862,Queens
3451,Condo,950000,1,1.0,2184.207862,Manhattan
3452,Condo,2000000,2,2.0,1441.0,Brooklyn
3456,Co-op,248000,1,1.0,2184.207862,Queens
3460,Condo,695000,3,2.0,704.0,Brooklyn
3469,Co-op,399000,1,1.0,2184.207862,Queens
3471,Co-op,535000,2,1.0,1000.0,Queens
3472,Co-op,429000,1,1.0,575.0,Brooklyn
3476,Co-op,235000,1,1.0,800.0,Brooklyn
3478,Condo,899000,2,1.0,1010.0,Brooklyn
3479,Co-op,269999,1,1.0,2184.207862,Queens
3487,Co-op,280000,1,1.0,650.0,Brooklyn
3493,Co-op,875000,2,2.0,1275.0,Brooklyn
3495,Condo,598000,1,1.0,663.0,Queens
3498,Co-op,355000,1,1.0,2184.207862,Queens
3503,Co-op,515000,2,2.0,1200.0,Brooklyn
3514,Condo,349000,3,1.0,2184.207862,Queens
3521,Co-op,355000,2,1.0,1000.0,Brooklyn
3525,Co-op,268800,1,1.0,725.0,Brooklyn
3526,Condo,640000,1,1.0,1022.0,Brooklyn
3530,Condo,640000,1,1.0,1022.0,Brooklyn
3532,Co-op,699000,2,2.0,1400.0,Queens
3542,Co-op,235000,3,1.0,2184.207862,Queens
3546,Condo,456000,1,1.0,2184.207862,Queens
3550,Condo,628000,3,2.0,1097.0,Brooklyn
3557,Co-op,416000,3,1.0,950.0,Queens
3559,Co-op,499000,1,1.0,800.0,Brooklyn
3570,Co-op,229000,3,1.0,500.0,Brooklyn
3572,Co-op,235000,1,1.0,2184.207862,Queens
3573,Condo,3500000,3,2.0,1896.0,Brooklyn
3584,Co-op,1695000,3,2.0,2184.207862,Manhattan
3586,Co-op,419800,2,1.0,1000.0,Queens
3592,Co-op,210000,3,1.0,550.0,Queens
3598,Co-op,440000,2,1.0,2184.207862,Brooklyn
3600,House,600000,2,2.0,2184.207862,Brooklyn
3602,Co-op,160000,3,1.0,2184.207862,Queens
3607,Condo,888000,3,2.0,1700.0,Brooklyn
3615,Co-op,119000,3,1.0,2184.207862,Queens
3622,Co-op,199888,1,1.0,2184.207862,Queens
3625,Co-op,119000,3,1.0,2184.207862,Queens
3632,Condo,209000,1,1.0,650.0,Staten Island
3633,Co-op,259000,3,1.0,590.0,Queens
3642,Condo,771770,2,2.0,710.0,Queens
3653,Condo,771770,2,2.0,710.0,Queens
3656,Co-op,449000,2,1.0,2184.207862,Queens
3658,Co-op,3950000,2,2.0,2184.207862,Manhattan
3660,Condo,7750000,3,3.0,2184.207862,Manhattan
3664,Co-op,360000,2,2.0,2184.207862,Queens
3667,Co-op,300000,1,1.0,800.0,Brooklyn
3670,Co-op,215000,1,1.0,2184.207862,Queens
3672,Condo,250000,3,1.0,2184.207862,Brooklyn
3686,Co-op,339000,1,1.0,2184.207862,Queens
3687,Co-op,255000,1,1.0,2184.207862,Queens
3688,Co-op,140000,3,1.0,2184.207862,Queens
3689,Co-op,240000,3,1.0,500.0,Queens
3695,Co-op,299000,3,1.0,650.0,Queens
3697,Condo,450888,1,1.0,2184.207862,Queens
3698,Co-op,298000,1,1.0,790.0,Brooklyn
3700,Condo,748000,2,2.0,713.0,Queens
3704,Co-op,229999,1,1.0,2184.207862,Queens
3707,Co-op,458000,2,1.0,2184.207862,Queens
3711,Co-op,470000,2,1.0,2184.207862,Queens
3730,Condo,565000,1,1.0,804.0,Brooklyn
3742,Condo,565000,1,1.0,804.0,Brooklyn
3760,Condo,418000,1,1.0,684.0,Queens
3764,Co-op,400000,1,1.0,2184.207862,Queens
3770,Co-op,265000,1,1.0,765.0,Brooklyn
3771,Co-op,169999,1,1.0,2184.207862,Queens
3778,Condo,445000,3,1.0,402.0,Queens
3779,Co-op,399000,2,1.0,960.0,Brooklyn
3784,Co-op,525000,3,2.0,2184.207862,Brooklyn
3785,Co-op,479000,2,1.0,1100.0,Brooklyn
3792,Condo,420000,1,1.0,668.0,Brooklyn
3796,Co-op,249000,2,1.0,1000.0,Brooklyn
3803,Condo,9975000,3,3.0,2241.0,Manhattan
3810,Co-op,329000,2,1.0,2184.207862,Queens
3817,Condo,7750000,5,6.0,3701.0,Brooklyn
3827,Co-op,275000,1,1.0,880.0,Brooklyn
3834,Co-op,279000,1,1.0,2184.207862,Queens
3835,Co-op,330000,1,1.0,656.0,Queens
3846,Co-op,190000,3,1.0,500.0,Queens
3852,Condo,359000,2,1.0,920.0,Brooklyn
3857,Condo,1175000,4,2.0,2184.207862,Queens
3859,Condo,2950000,3,2.0,1709.0,Brooklyn
3860,Condo,358000,3,1.0,2184.207862,Queens
3861,Co-op,189999,1,1.0,2184.207862,Queens
3864,Condo,380000,3,1.0,393.0,Brooklyn
3865,Condo,380000,3,1.0,393.0,Brooklyn
